"ave_f","ave_s","iq10r_f","iq10r_s","iq4r_f","iq4r_s","lower_whisker_10_f","lower_whisker_10_s","lower_whisker_4_f","lower_whisker_4_s","max_f","max_s","min_f","min_s","name","percentile2_f","percentile2_s","percentile91_f","percentile91_s","percentile98_f","percentile98_s","percentile9_f","percentile9_s","q1_of_10_f","q1_of_10_s","q1_of_4_f","q1_of_4_s","q2_of_10_f","q2_of_10_s","q2_of_4_f","q2_of_4_s","q3_of_10_f","q3_of_10_s","q3_of_4_f","q3_of_4_s","q4_of_10_f","q4_of_10_s","q5_of_10_f","q5_of_10_s","q6_of_10_f","q6_of_10_s","q7_of_10_f","q7_of_10_s","q8_of_10_f","q8_of_10_s","q9_of_10_f","q9_of_10_s","upper_whisker_10_f","upper_whisker_10_s","upper_whisker_4_f","upper_whisker_4_s"
0.0030493462250982045,0.0021408153287429295,0.0019482367997685182,0.00028635907291666655,0.0004011937847222223,0.000127427641782407,5.930336805555555e-05,0.0015779951736111112,0.001200102835648148,0.0018901654513888888,0.12502512261574072,0.03199083304398148,5.930336805555555e-05,0.0004703266898148149,"reduction-effects",0.00015190294022569443,0.0011753333547048612,0.0021782868749120375,0.002303514475193287,0.004407849606423565,0.002562488870300921,0.00019843065646759262,0.0019953926422916664,0.00021396591782407406,0.0020061552974537035,0.0016757707436342592,0.002079799725115741,0.0007814078124999999,0.0020631858425925924,0.0019363954282407407,0.0021403779050925926,0.0017444184710648147,0.0020933231921296297,0.0020769645283564815,0.002207227366898148,0.0017882780185185187,0.0021174872824074073,0.0019363954282407407,0.0021403779050925926,0.002024297800925926,0.0021634304305555557,0.0020678294479166666,0.002190200548611111,0.0021028818171296296,0.002227987826388889,0.0021622027175925923,0.00229251437037037,0.004763286458333333,0.0027193599652777776,0.0023872296412037037,0.002397944548611111
0.0016665224363238648,0.0021585004223818333,0.0021040351712962964,0.0009394713032407408,0.0004919435185185182,0.000255841527777778,1.7399212962962963e-05,0.0005198010532407408,0.0008749355787037037,0.0015515222916666668,0.005809004409722222,0.012816532060185183,1.7399212962962963e-05,0.0005198010532407408,"ltac2",9.186607988425926e-05,0.0010050691412962964,0.002305615169939814,0.0028230474773796293,0.003123984577291664,0.0035904654758101783,0.0001344708383935185,0.0017698013739120368,0.00014215524537037035,0.0017981522060185183,0.0014944130902777776,0.0019346821064814815,0.001447647476851852,0.0019121676226851853,0.0018216167013888889,0.0020414776041666667,0.0015554541064814816,0.0019558521064814813,0.001986356608796296,0.0021905236342592595,0.0017343010347222222,0.0019973083611111112,0.0018216167013888889,0.0020414776041666667,0.0018769662430555554,0.0020954772986111108,0.0019430099814814815,0.002151910835648148,0.0020352586203703704,0.0022724387916666666,0.002246190416666667,0.002737623509259259,0.004500781643518518,0.004112035462962962,0.002723682210648148,0.0025689548958333333
0.0128486992979284,0.002178025531046034,0.0019998749097222216,0.0002680766574074075,0.00044571033564814793,0.00011636871527777792,3.3373194444444446e-05,0.001633364409722222,0.0010305057754629629,0.0019271059259259257,1.0000357802546296,0.04081699275462963,3.3373194444444446e-05,0.0004585655902777778,"coqtail",0.0001389376262037037,0.0012311542294444445,0.002333079910731481,0.002306637722759259,0.12502565485342593,0.0029647856635185137,0.0002403812549444444,0.0020130465770925926,0.00025925802314814817,0.002026327384259259,0.0016944085300925928,0.0021016184374999997,0.001073097418981482,0.002084537324074074,0.0020014797916666667,0.0021586357870370374,0.0017363616782407405,0.002116231523148148,0.0021401188657407407,0.0022179871527777777,0.0018692993703703707,0.002139292523148148,0.0020014797916666667,0.0021586357870370374,0.002069340451388889,0.0021799086273148146,0.002113134215277778,0.0022035202939814816,0.002157626041666667,0.002236275902777778,0.00225913293287037,0.0022944040416666665,0.0038356872106481477,0.0026943174421296297,0.002708501736111111,0.002391377615740741
0.0017558845845501347,0.0022004797494922426,0.0021022705254629633,0.0005009086400462963,0.000855439230324074,0.00018905517361111164,1.7717326388888888e-05,0.001164313935185185,2.7993437499999998e-05,0.0018076217824074074,0.07537824409722223,0.03810900134259259,1.7717326388888888e-05,0.0004742656597222223,"coq-dpdgraph",0.00010314599787037035,0.0010341219600983797,0.0022893879395671293,0.0024441435743402778,0.0033833352144675907,0.0032990600476562517,0.00015545586077314816,0.0018921556501041666,0.00016462196990740737,0.0019139298032407408,0.0013111037210648147,0.0020903280295138885,0.00039322628703703703,0.0020444090046296296,0.0019055799999999998,0.002195227800925926,0.001471516138888889,0.0021229784606481483,0.0021665429513888887,0.002279383203125,0.0016637143379629631,0.0021642524537037037,0.0019055799999999998,0.002195227800925926,0.0020551346782407406,0.002224015081018518,0.0021357014722222217,0.0022579667766203706,0.0021949262939814813,0.00230651681712963,0.0022668924953703705,0.002414838443287037,0.005347940416666666,0.0031642013657407404,0.00344753380787037,0.0025617433101851853
0.002021296347535035,0.0022713703760714895,0.0004657405439814819,0.00019822432175925974,0.00018038444444444437,9.402422453703681e-05,0.001571138564814815,0.0018622642592592594,0.001719583460648148,0.0020637493287037037,0.002896149756944445,0.015992742083333334,2.6746643518518517e-06,0.0006405159722222222,"vscoq",0.00044619273662037026,0.002060235249560185,0.002227006889972222,0.0023561770999537034,0.0023597039219444447,0.0024807997244212965,0.0017393999739629628,0.0021412452357824074,0.0017563959259259258,0.0021500890277777775,0.0019847836805555554,0.002204629340277778,0.001962436907407407,0.002190690041666667,0.002103637858796296,0.002249653773148148,0.002015590393518519,0.0022150770324074077,0.002165168125,0.0022986535648148146,0.002069685416666667,0.002233538629629629,0.002103637858796296,0.002249653773148148,0.0021243627106481483,0.002266002053240741,0.0021490096527777775,0.0022859450046296293,0.002178636590277778,0.002311751409722222,0.0022221364699074077,0.002348313349537037,0.002896149756944445,0.00264288625,0.0023822969444444444,0.0024396653125
0.001591440448133149,0.0022796236602741072,0.002042274569444444,0.0005081117685185187,0.00152992380787037,0.00019272124999999973,1.704494212962963e-05,0.0012032885416666667,1.704494212962963e-05,0.0018529854166666664,0.07604531179398148,0.04844776842592593,1.704494212962963e-05,0.0005235860995370371,"aac-tactics",0.00010175376576388889,0.0011705467108680556,0.002219387687300926,0.0025056951078310185,0.0027913113306018518,0.0034587620378124908,0.0001556225661527778,0.0019423916406666668,0.00016557332175925923,0.0019646290902777777,0.0005558998321759259,0.0021416798958333334,0.0002762968935185185,0.0020959821782407404,0.0017409662847222224,0.0022505670023148148,0.0013382553564814815,0.0021738356435185187,0.002085823640046296,0.002334401145833333,0.0015405783333333335,0.0022176000972222226,0.0017409662847222224,0.0022505670023148148,0.001894090509259259,0.002280275696759259,0.0020451066296296298,0.002314300819444444,0.0021243386828703704,0.002359121796296296,0.0022078478912037035,0.0024727408587962964,0.003979788310185185,0.0032332540856481484,0.003979788310185185,0.0026232596875000003
0.0023702134365354934,0.0023205119092525503,0.0003757660729166671,0.00023005760416666644,5.347584201388883e-05,0.0001209463310185184,0.0016306697800925927,0.0018651298495370372,0.0016657156712962962,0.0020717701736111113,0.009143206354166667,0.00864125939814815,0.0016306697800925927,0.0007423979513888888,"bigenough",0.0016389581333622687,0.002093858776319444,0.002247523688983798,0.0024302457653981482,0.007471761288761565,0.0025558390424884263,0.0016648640561400462,0.002186572104958333,0.0016698132916666665,0.002193849340277778,0.0017141109722222222,0.00225295328125,0.001708670300925926,0.0022360353240740735,0.0017418021238425926,0.002315142164351852,0.0017177879386574074,0.0022672337916666667,0.001767586814236111,0.0023738996122685185,0.0017253783449074076,0.0022911919861111113,0.0017418021238425926,0.002315142164351852,0.0017566861041666665,0.0023370773611111114,0.0017640106689814814,0.002360484622685185,0.0017720884560185187,0.002387821340277778,0.0020455793645833336,0.0024239069444444445,0.002075785358796296,0.0027636692361111114,0.0017737254166666667,0.0025544180208333335
0.0020135478938450584,0.002355550426308214,0.0022059753032407405,0.0006885394444444454,0.0007965093287037037,0.0003561088425925933,2.1328553240740742e-05,0.0009276454976851852,0.00026036636574074075,0.0016485140509259258,0.12502784060185185,0.01610276670138889,2.1328553240740742e-05,0.0005115072569444444,"coqhammer",0.0001026200670138889,0.0011144629008796295,0.0024035306135324072,0.0026657377243888888,0.00331342440648148,0.003362121100601845,0.0001683315789907407,0.0019372465937314816,0.00017990301157407406,0.001959482164351852,0.0014531427777777779,0.002182086145833333,0.0009025617175925924,0.002109752923611111,0.0019217658564814812,0.002383507071759259,0.001540479349537037,0.0022307894027777777,0.0022496521064814816,0.0025381949884259263,0.001765699488425926,0.002304475770833333,0.0019217658564814812,0.002383507071759259,0.002121176087962963,0.0024579247476851853,0.0022048092175925927,0.0025131727800925927,0.002285240423611111,0.002565356775462963,0.0023858783148148145,0.002648021608796297,0.0054929182754629635,0.0036777890277777774,0.003439434363425926,0.0030715535648148146
0.0020760663070856877,0.002373738285138583,0.0006966376296296296,0.00020753896180555507,0.0004833631365740742,0.00010201830729166667,0.0016138179050925927,0.001961729791666667,0.0016138179050925927,0.002146828159722222,0.005944679479166666,0.015882426875,0.00017179800925925926,0.0007451190046296297,"autosubst",0.000600477506585648,0.0021254693526273146,0.0023737524248842595,0.0024585430585902777,0.004681766839606461,0.0025788683671064813,0.0016710642092083335,0.0022368650584907407,0.001673146363425926,0.0022431842673611116,0.0017564775520833333,0.0022998085561342593,0.0017394150509259258,0.002282696731481481,0.002003360787037037,0.002350935028935185,0.0017755552152777777,0.0023108913726851855,0.0022398406886574075,0.002401826863425926,0.0018220363726851854,0.0023330927384259256,0.002003360787037037,0.002350935028935185,0.002181135400462963,0.0023689183587962963,0.0022102140717592594,0.002389489888888889,0.0022916826180555557,0.0024131956782407404,0.0023697839930555556,0.0024507232291666667,0.0024132165162037036,0.002761495243055556,0.0024132165162037036,0.0025544679513888886
0.0016004557766108039,0.0024601114853539194,0.0021671286550925925,0.0006830130509259259,0.0018603867939814816,0.00019968356770833345,1.7242418981481483e-05,0.001024463287037037,1.7242418981481483e-05,0.0019366531944444443,0.12502214497685185,0.029072031736111115,1.7242418981481483e-05,0.0006568663194444444,"stdlib2",9.81506406423611e-05,0.0012861712577719908,0.002330482963528935,0.002900581499421296,0.0038786456228067073,0.004835798397731481,0.00014798501628125003,0.0020235168171770833,0.0001528489201388889,0.0020446279050925923,0.0002306331684027778,0.0022355426533564814,0.00019335407870370368,0.002190328358796296,0.001524473431712963,0.0023447059201388886,0.0002720123935185185,0.0022663327974537036,0.0020910199623842595,0.002435226221064815,0.0014151442800925923,0.00230930087962963,0.001524473431712963,0.0023447059201388886,0.0017291035092592594,0.002376294085648148,0.0018987600682870377,0.0024125465104166666,0.0021871640486111114,0.0024654040439814813,0.0023199775752314813,0.002727640956018518,0.004561571678240741,0.0037507421296296296,0.004561571678240741,0.002733560636574074
